Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02243147


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243147;1;01/10/1968;1;13,1;51,6;12;12;1;1;0;;0;8,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;9,7;3,5;13,1;0,0;2,0;0,5;0,0;0,0;0,5;2,4;0,0;0,0;8,2;2,6;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243147;1;01/09/1968;1;24,1;61,4;4;7;1;1;0;;0;2,0;0,0;0,1;24,1;9,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243147;1;01/08/1968;1;9,7;46,2;6;;1;1;0;;0;0,0;0,0;0,0;0,0;2,9;9,7;0,0;0,0;9,1;3,1;4,0;9,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;;;8,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;4;1;1;1;1;1;1;1;1;
2243147;1;01/07/1968;1;19,4;71,4;27;6;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,9;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,3;0,0;0,0;0,0;0,0;19,4;9,3;9,3;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243147;1;01/06/1968;1;18,0;49,9;25;5;1;1;0;;0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;10,7;8,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;11,6;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243147;1;01/05/1968;1;8,8;39,7;17;8;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;6,5;0,0;0,0;0,0;0,0;7,1;8,8;0,0;0,0;0,0;0,0;0,5;8,7;0,5;0,0;0,0;0,0;0,0;0,0;7,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243147;1;01/04/1968;1;36,3;112,8;6;14;1;1;0;;0;2,4;15,2;0,0;1,0;4,8;36,3;1,4;0,0;0,0;0,0;0,0;0,0;6,8;7,3;2,2;0,0;3,8;0,0;0,0;0,0;16,4;12,6;0,0;0,6;2,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2243147;1;01/03/1968;1;52,2;108,1;2;12;1;1;0;;0;9,6;52,2;5,8;1,3;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,2;0,0;1,7;0,0;0,5;30,4;2,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2243147;1;01/02/1968;1;76,6;163,2;17;14;1;1;0;;0;3,5;7,7;0,3;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;76,6;0,0;0,6;4,9;0,2;3,5;0,0;0,5;20,5;32,5;0,9;11,4;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2243147;1;01/01/1968;1;34,4;110,2;4;12;1;1;0;;0;0,0;0,0;3,8;34,4;15,2;11,5;6,5;0,0;0,0;0,0;19,8;3,1;1,2;0,0;0,0;0,0;0,0;0,5;0,0;5,2;0,0;2,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
